Bang (feat. Dances With White Girls) - Bentley Dean Remix, '1XwL3qdo0jPmliKRgxY5TL', '2yazcd9mOGErgHm7VaBaNT']",4,1,False,0.723,0.912,2,-6.91,1,0.171,0.0276,0.41200000000000003,0.301,0.599,128.03799999999998,172734,4.0,2019,2019-08-02
Jackboot Thugbots,False,0.5,0.5329999999999999,5,-8.743,1,0.0629,0.765,0.898,0.575,0.34700000000000003,119.902,93834,4.0,2012,2012-08-21
"9 Variations on Paisiello's ""Quant'e piu bello"","['2wOqMjp9TyABvtHdOSOTUS', '6Hrns9FM7XNT94haw5RS0O']",25,1,False,0.39799999999999996,0.0338,9,-32.161,1,0.0402,0.996,0.883,0.0994,0.568,80.889,38027,4.0,2020,2020-11-06
Book of the Dead: III. Defending Against Being Devoured by Servants of Osiris, '0optr99UN7phHq6eJqUY9Y', '6XBru25UoE40kqVpebi0aY']",3,1,False,0.187,0.193,10,-19.374000000000002,1,0.0421,0.6890000000000001,0.9259999999999999,0.598,0.0508,83.15,282987,4.0,2018,2018-10-01
Praise God from Whom All Blessings Flow,False,0.138,0.23199999999999998,2,-13.12,1,0.0382,0.9670000000000001,0.000251,0.154,0.0383,171.391,118712,3.0,2018,2018-12-05
Vacation,False,0.7390000000000001,0.754,8,-5.034,1,0.035,0.0431,0.0,0.0999,0.7929999999999999,150.017,209142,4.0,2017,2017-06-30
Oshin (Subsume),False,0.46399999999999997,0.754,4,-7.393,0,0.0343,0.0023899999999999998,0.83,0.23600000000000002,0.183,119.97399999999999,212213,4.0,2012,2012-06-26
Guitar Virus,False,0.21600000000000005,0.8909999999999999,2,-5.122999999999998,1,0.0955,0.927,0.718,0.858,0.534,172.61599999999999,217907,3.0,2007,2007-06-05
Deathcraft and Necromancy,False,0.16399999999999998,0.568,4,-9.144,1,0.0468,0.00313,0.892,0.106,0.449,127.98100000000001,392168,4.0,2017,2017-04-07
Rock Tonight,False,0.68,0.932,11,-3.819,0,0.0358,0.0016699999999999998,0.0070799999999999995,0.18600000000000005,0.9540000000000001,120.98899999999999,210720,4.0,2010,2010-09-21
Sideline,11,1,True,0.408,0.623,5,-9.918,1,0.514,0.159,0.0,0.10800000000000001,0.302,87.699,233273,5.0,2020,2020-11-26
Can't Fucc Wit Us,5,1,True,0.774,0.867,7,-5.435,0,0.306,0.358,0.0,0.0661,0.7879999999999999,90.005,240373,4.0,2007,2007-06-01
Back Home Again,False,0.59,0.498,0,-10.741,1,0.0282,0.243,3.9e-06,0.102,0.248,126.944,221133,4.0,2018,2018-02-28
"Les amours de Jupiter, 'Neeme Järvi']","['3KSFGteIQYY5pgE3veclRk', '3wnm0pkc0sPfV7UI2xlZlW', '5UHZvYJA0aPcJSLYkYAeps']",31,1,False,0.247,0.0756,8,-23.834,0,0.0365,0.9279999999999999,0.929,0.128,0.10099999999999999,69.457,100987,4.0,2019,2019-03-01
Eugene - Live,False,0.3720000000000001,0.0571,11,-28.38,1,0.0513,0.9109999999999999,0.00351,0.7090000000000001,0.363,159.596,172469,4.0,2017,2017-04-28
Hand of God,True,0.536,0.62,6,-4.917,0,0.424,0.2,0.0,0.126,0.431,178.37,227507,4.0,2020,2020-10-02
Rosa,8,1,False,0.687,0.6729999999999999,1,-4.078,0,0.0771,0.449,0.0,0.0746,0.551,87.932,166156,4.0,2019,2019-04-05
Magazine Angels,False,0.324,0.34,3,-10.375,1,0.0341,0.7120000000000001,0.0,0.152,0.295,88.624,241960,3.0,1995,1995-09-19
Shadowz,False,0.807,0.9209999999999999,11,-1.69,0,0.215,0.0155,0.48700000000000004,0.316,0.36,140.02100000000002,120000,4.0,2020,2020-01-30
"Prélude à l'après-midi d'un faune,"['1Uff91EOsvd99rtAupatMP', '2v1lHgfpG4joXW7kDdDI78', '5yxyJsFanEAuwSM5kOuZKc']",1,1,False,0.0862,0.0397,8,-26.357,0,0.0443,0.978,0.938,0.0686,0.0294,73.86399999999998,654400,3.0,1963,1963
I Apologize,False,0.43,0.303,6,-8.139,1,0.0282,0.5,0.0,0.102,0.28600000000000003,181.959,185973,4.0,2006,2006-03-31
英雄,False,0.42100000000000004,0.531,5,-6.712999999999999,0,0.0261,0.141,1.6100000000000002e-05,0.33799999999999997,0.111,148.185,283413,4.0,1987,1987
Tired Of Sleep (T.O.S.),False,0.627,0.7340000000000001,7,-7.422999999999999,1,0.0427,0.0027600000000000003,0.0108,0.111,0.33899999999999997,89.76100000000002,233027,4.0,1997,1997-08-14
All The Money,False,0.22399999999999998,0.0237,1,-27.846999999999998,1,0.0405,0.958,0.8140000000000001,0.0963,0.0713,125.12,81600,4.0,2009,2009-07-28
Don't Close Your Eyes,False,0.537,0.382,7,-15.568,0,0.0245,0.0795,0.00115,0.114,0.33799999999999997,148.061,257053,4.0,2018,2018-06-22
The Tenderness of Drops,False,0.25,0.235,0,-13.819,1,0.039,0.85,0.887,0.11699999999999999,0.0826,130.58,444453,4.0,2019,2019-06-26
Even More Mine,False,0.415,0.281,10,-7.35,1,0.0314,0.7609999999999999,0.0,0.14300000000000002,0.371,128.781,190867,4.0,2018,2018-09-28
Nutricia,False,0.565,0.544,0,-12.37,1,0.0335,0.485,0.9390000000000001,0.19399999999999998,0.584,141.942,301640,4.0,1996,1996-09-10
Drugz - Screwed (Explicit),True,0.7879999999999999,0.728,1,-7.532999999999999,1,0.242,0.0013800000000000002,1.02e-06,0.265,0.314,126.39299999999999,276613,4.0,2004,2004-03-30
The New Pokerap,True,0.968,0.6829999999999999,10,-8.325,0,0.217,0.0821,0.0,0.17800000000000002,0.774,110.01299999999999,111241,4.0,2014,2014-12-16
Can't Afford To Lose My Man,False,0.708,0.18100000000000002,2,-9.786,1,0.0569,0.941,4.59e-05,0.09,0.58,129.958,162373,4.0,2008,2008-09-03
Dupree Blues,False,0.612,0.31,0,-11.265999999999998,1,0.0378,0.9420000000000001,3.02e-05,0.131,0.642,116.899,207853,4.0,2012,2012-10-16
Silver Bells,False,0.41700000000000004,0.21899999999999997,0,-10.93,1,0.027000000000000003,0.919,0.0,0.113,0.23,78.913,157533,3.0,2012,2012-10-02
Your Oasis,False,0.4970000000000001,0.647,9,-5.655,1,0.0331,0.0467,2.52e-06,0.131,0.196,143.97,242147,4.0,2013,2013-04-23
Circularoom,False,0.731,0.9329999999999999,10,-10.460999999999999,0,0.223,0.022000000000000002,0.856,0.0677,0.493,119.764,143720,4.0,2009,2009-01-01
Now You're Gone,False,0.402,0.57,0,-10.899000000000001,1,0.0362,0.00121,0.0406,0.12300000000000001,0.355,114.264,360947,4.0,2019,2019-10-04
7.62,1,True,0.769,0.667,2,-6.562,1,0.521,0.128,0.0,0.11,0.32899999999999996,158.059,172449,4.0,2020,2020-02-28
Бежала голову сломя,1,False,0.569,0.8859999999999999,2,-4.7780000000000005,0,0.0378,0.5529999999999999,0.0,0.278,0.8959999999999999,170.292,217600,4.0,1995,1995-01-01
Numb,False,0.39799999999999996,0.752,5,-5.165,0,0.0499,0.000339,0.000883,0.0597,0.475,160.039,223747,3.0,2019,2019-10-04
It's News,False,0.402,0.758,2,-10.350999999999999,1,0.0589,0.0030600000000000002,0.006690000000000001,0.154,0.868,176.43099999999995,113400,4.0,2010,2010-06-22
Feelinz (feat. Young Greatness),11,1,True,0.768,0.779,6,-5.043,0,0.16699999999999998,0.0977,5.08e-06,0.135,0.302,145.058,251638,4.0,2019,2019-06-06
Reality Raps,True,0.713,0.902,4,-5.069,0,0.32,0.11699999999999999,0.0,0.107,0.562,172.028,275040,4.0,2018,2018-01-19
Illusion,False,0.56,0.326,0,-8.757,1,0.0274,0.0135,0.0,0.11699999999999999,0.10800000000000001,97.719,333520,4.0,2001,2001-01-01
Musical Fanzine,True,0.284,0.8909999999999999,0,-4.146,1,0.0844,7.979999999999999e-05,1.53e-05,0.114,0.289,186.83599999999998,231285,4.0,2019,2019-05-31
Rotten Apples,False,0.516,0.889,2,-6.791,1,0.0456,0.00112,1.25e-06,0.153,0.71,109.166,182720,4.0,2011,2011-03-22
Lyman Place,False,0.312,0.86,8,-8.804,0,0.11800000000000001,0.106,0.29,0.191,0.0366,126.47399999999999,532760,4.0,2011,2011-11-14
Empty Love,False,0.608,0.6829999999999999,7,-7.479,1,0.025,0.0339,0.0,0.233,0.609,133.00799999999998,227271,4.0,2019,2019-08-28
luv like you?,True,0.795,0.521,9,-9.837,1,0.2,0.17300000000000001,0.0,0.124,0.632,129.967,230769,4.0,2020,2020-10-02
"Violin Concerto No. 2 in D Minor, 'Russian Philharmonic Orchestra', 'Dmitry Yablonsky']","['0521x50ZcNqqT1fKMJg5c5', '5BLfUXpvwP8tspehyGg9xp', '1ZqfApY0fqguhw8PVf4mWq', '6jKsnWXyWgE3jyC0Cs0Cdb']",1,1,False,0.226,0.183,2,-17.387,0,0.0411,0.92,0.26,0.122,0.0642,97.176,621787,4.0,2009,2009-06-30
I Love Canada,False,0.674,0.83,0,-2.345,1,0.0261,0.253,0.0,0.107,0.755,97.90799999999999,153093,4.0,2005,2005-02-22
Caveman,False,0.532,0.33399999999999996,4,-11.300999999999998,1,0.03,0.7809999999999999,6.890000000000001e-05,0.11699999999999999,0.499,80.808,331001,4.0,2020,2020-10-02
There's Alot of Lonely People Tonight,False,0.787,0.209,0,-20.207,1,0.0394,0.9229999999999999,0.000572,0.111,0.523,105.32700000000001,220960,4.0,2015,2015-10-09
Leaving On A Jet Plane,False,0.289,0.397,2,-13.083,1,0.057,0.7609999999999999,1.18e-05,0.114,0.201,66.839,293333,5.0,2000,2000
Hypnotic,False,0.802,0.428,10,-14.582,0,0.08900000000000001,0.0782,2.51e-05,0.136,0.633,91.806,220453,4.0,2019,2019-09-20
Nothing,False,0.29,0.18100000000000002,4,-10.889000000000001,0,0.0335,0.912,0.0066099999999999996,0.0977,0.0418,178.985,263843,3.0,2013,2013-06-04
Le café espagnol,False,0.7709999999999999,0.799,1,-7.2620000000000005,0,0.0324,0.13,0.237,0.083,0.885,125.038,260200,4.0,2010,2010-10-05
Yellow,False,0.496,0.679,2,-6.412000000000001,1,0.0265,0.0158,0.013000000000000001,0.064,0.742,132.209,225667,4.0,1998,1998-01-22
Close Call,False,0.295,0.295,2,-8.77,1,0.0309,0.66,3.91e-05,0.094,0.124,134.822,253413,4.0,2012,2012-03-30
Please Don't Send Me Fruitcake,False,0.679,0.595,2,-6.398,1,0.0314,0.387,0.0,0.217,0.861,112.369,146093,4.0,2015,2015-11-10
Vehement,False,0.575,0.162,0,-19.802,1,0.0451,0.613,0.985,0.152,0.0963,129.997,153050,4.0,2019,2019-07-20
Country Love,False,0.541,0.27699999999999997,3,-14.934000000000001,1,0.0297,0.927,0.028999999999999998,0.109,0.244,105.98100000000001,145825,4.0,2016,2016-10-28
You Don't Have to Change (But You Have to Choose),False,0.396,0.23399999999999999,11,-14.847000000000001,1,0.0577,0.7190000000000001,1.57e-05,0.28600000000000003,0.26,119.34200000000001,195600,4.0,2015,2015-03-30
Only In The Past - Live,False,0.41200000000000003,0.745,0,-8.201,1,0.0519,0.79,6.16e-06,0.657,0.5920000000000001,98.295,281080,4.0,2002,2002
Love Me Right,False,0.703,0.6659999999999999,9,-8.83,0,0.0961,0.382,0.0,0.251,0.871,111.85600000000001,248013,4.0,1982,1982-05-01
Blind Boys,1,False,0.5479999999999999,0.9440000000000001,7,-3.9960000000000004,1,0.0628,0.17800000000000002,0.000139,0.111,0.8440000000000001,152.08100000000005,168293,4.0,2005,2005-11-08
Fountayne Road,False,0.521,0.616,9,-10.156,0,0.0383,0.259,0.008440000000000001,0.11,0.648,126.844,181590,4.0,2017,2017-10-14
All That You Ask Me,False,0.326,0.26899999999999996,10,-12.07,1,0.03,0.862,3.65e-06,0.312,0.15,109.71700000000001,315133,3.0,2005,2005-06-20
On the Town: Act II: Dance - The Real Coney Island,13,1,False,0.45299999999999996,0.606,5,-11.18,1,0.165,0.604,0.006,0.327,0.428,134.511,327533,4.0,1959,1959
Flute Concerto in E Minor: III. Allegro,"['6A18tc7ASx6onN5LfPcEso', '5mHKTrIJj1pw5hVj6JDCWO', '532c5jnFC6nNn3fOK1DunO']",6,1,False,0.4370000000000001,0.0653,6,-19.833,1,0.0389,0.971,0.5329999999999999,0.0742,0.392,137.705,384507,3.0,2009,2009-01-01
"The Three-Cornered Hat, 'The Orchestra of the Americas']","['5BcbyYRgvvhfVGmCJSjHlT', '2CB2wXFPjoehJON13esAaV', '3zY9NGMaiANmLyaC1GmOuc']",3,1,False,0.29600000000000004,0.0971,2,-21.965,1,0.0412,0.929,0.889,0.16399999999999998,0.20199999999999999,120.96799999999999,214625,3.0,2020,2020-05-29
Butcher's Bridge - Defeat (From League of Legends: Season 5),False,0.679,0.187,1,-18.872,0,0.0287,0.445,0.8590000000000001,0.111,0.2,124.01799999999999,85757,4.0,2019,2019-10-11
Woman On The Screen,False,0.244,0.9790000000000001,10,-1.61,0,0.0665,1.41e-06,0.0661,0.387,0.13,97.335,158520,4.0,2016,2016-07-08
"Fra Holbergs tid (From Holberg's Time),"['5ihY290YPGc3aY2xTyx7Gy', '3SrOlll9sjDBbH1kOTsALh', '2BtaY8pmwX2PXpkTMdQ7rv']",11,1,False,0.47100000000000003,0.0954,7,-23.628,1,0.0436,0.9670000000000001,0.201,0.048,0.376,123.809,203200,4.0,1995,1995-02-08
"Raymonda, 'Moscow Symphony Orchestra', 'Alexander Anissimov']","['78t7WfwhjZLkDHN5QKwS5u', '0udLXDzunp4xQRWhMNQPci', '3HXvkZChjFMEaFWmBwb7mf']",5,1,False,0.0,0.0928,3,-26.776,1,0.0,0.21899999999999997,0.000712,0.369,0.0,0.0,13600,0.0,1996,1996-03-18
"6 Cantatas, 'Musica Solare']","['60LJG0D6vpeAtAHozBrvKh', '6skHGwUovjw81pQTEXuMsU', '6SAk9a1MbU1gKtj8UJXnUB']",5,1,False,0.32299999999999995,0.0285,4,-23.823,1,0.0435,0.99,0.057,0.102,0.138,141.084,327573,4.0,2005,2005-08-01
Angélus - Live,False,0.423,0.863,1,-8.336,0,0.115,0.368,1.6e-06,0.8859999999999999,0.29100000000000004,136.035,218787,4.0,2016,2016-11-18
Darling (Extended Mix),False,0.7090000000000001,0.252,5,-17.973,0,0.0348,0.4,0.7120000000000001,0.0922,0.455,101.979,255531,4.0,2010,2010-03-01
Girlfriend,False,0.529,0.7140000000000001,6,-6.315,1,0.031,0.009009999999999999,6.26e-06,0.0772,0.8140000000000001,120.598,219800,4.0,1991,1991
Babyboomtown - Dub From Atlantis and Mister Long's Good Friday Dub, '7sgCx0FxI4Pg5cX16IDm8r', '3sSgMCWZiOra23ZH0O3FYu']",1,1,False,0.552,0.6890000000000001,4,-7.3439999999999985,0,0.0648,0.0023,0.0008289999999999999,0.669,0.377,74.954,266993,4.0,2018,2018-09-21
"Tempest,6,1,False,0.177,0.983,5,-3.821,1,0.151,0.00011100000000000001,0.84,0.10300000000000001,0.287,149.98,217209,4.0,2009,2009-03-03
"Morceaux de fantaisie,"['0Kekt6CKSo0m5mivKcoH51', '6kJSScipaoehxfUqUTpiFw']",8,1,False,0.49,0.10300000000000001,6,-18.590999999999998,0,0.066,0.991,0.9109999999999999,0.0906,0.0987,74.593,209467,4.0,1991,1991-03-21
Hood Story (feat. Stack Bundles),16,1,True,0.7340000000000001,0.447,10,-9.906,0,0.318,0.14800000000000002,0.0,0.0846,0.5329999999999999,87.023,222800,4.0,2015,2015-03-17
