,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
35,94.5,72.0,84.2,103.5,72.0,89.1,71.5,67.4,0.0,0.0,0.0,0.0,0.0,19.7,9.9,276.2,26.3,9.8,271.8,23.6,10.0,0.49
36,95.0,77.1,85.8,104.0,77.1,92.1,73.6,68.3,0.0,0.0,0.0,0.0,0.0,20.7,11.1,306.8,28.7,9.8,213.8,18.5,9.0,0.5
37,82.3,71.6,76.3,85.5,71.6,77.1,69.5,80.0,0.043,100.0,16.67,0.0,0.0,17.2,9.7,71.8,62.6,9.7,120.5,10.4,5.0,1.0
38,92.2,73.7,81.3,97.5,73.7,84.2,71.6,74.2,0.267,100.0,12.5,0.0,0.0,27.6,8.8,279.2,39.8,9.8,512.0,44.3,5.0,0.08
39,93.7,76.7,85.3,101.2,76.7,90.9,73.3,69.1,0.0,0.0,0.0,0.0,0.0,18.3,10.3,256.5,46.0,9.8,508.5,43.9,5.0,0.22
40,88.3,70.9,80.2,92.0,70.9,81.7,68.6,69.6,0.011,100.0,8.33,0.0,0.0,20.8,9.6,172.0,30.5,9.9,513.3,44.3,5.0,0.55
41,85.6,69.9,75.0,92.5,69.9,75.5,70.3,85.8,0.618,100.0,29.17,0.0,0.0,33.7,10.0,253.8,68.9,9.3,516.9,45.3,5.0,0.7
42,88.3,71.4,78.2,94.3,71.4,80.3,70.4,77.8,0.046,100.0,4.17,0.0,0.0,11.9,9.6,277.2,36.2,9.9,514.4,44.8,5.0,0.41
43,83.2,71.4,76.5,88.0,71.4,77.8,70.9,83.5,0.738,100.0,62.5,0.0,0.0,38.9,9.6,217.7,65.6,9.5,515.6,44.5,5.0,0.48
44,82.8,71.7,76.6,84.3,71.7,77.1,66.2,71.7,0.0,0.0,0.0,0.0,0.0,20.8,11.2,92.0,50.2,9.9,516.1,45.0,5.0,0.52
45,89.5,72.7,79.3,94.6,72.7,81.2,68.7,71.2,0.193,100.0,8.33,0.0,0.0,39.2,12.4,251.0,43.4,9.8,483.2,41.9,5.0,0.58
46,90.2,65.7,78.1,93.6,65.7,79.6,65.6,67.5,0.0,0.0,0.0,0.0,0.0,14.1,7.5,106.9,27.9,9.9,513.3,44.4,5.0,0.13
47,85.5,71.9,77.1,89.5,71.9,77.8,70.0,79.9,0.107,100.0,20.83,0.0,0.0,14.5,10.2,90.1,76.7,9.5,429.4,37.4,5.0,0.18
48,86.0,64.2,74.6,85.5,64.2,74.5,60.9,65.3,0.0,0.0,0.0,0.0,0.0,19.7,8.1,0.5,25.1,9.8,516.3,44.7,5.0,0.83
49,91.9,67.4,79.1,92.4,67.4,79.7,66.3,69.0,0.0,0.0,0.0,0.0,0.0,9.4,6.6,4.1,5.3,9.2,512.2,44.2,5.0,0.91
50,81.0,59.9,68.5,82.9,59.9,68.7,57.9,69.2,0.003,100.0,4.17,0.0,0.0,16.8,9.7,261.3,47.2,9.9,521.0,45.3,5.0,1.0
51,76.8,60.2,66.9,76.8,60.2,66.9,47.0,48.9,0.0,0.0,0.0,0.0,0.0,35.8,17.3,18.2,63.0,9.9,501.8,43.7,5.0,0.12
52,77.7,48.0,62.0,77.7,47.3,62.0,43.8,58.2,0.0,0.0,0.0,0.0,0.0,19.7,10.3,333.3,10.5,9.8,524.5,45.6,5.0,0.39
53,71.2,62.8,67.3,71.2,62.8,67.3,63.9,89.1,0.491,100.0,29.17,0.0,0.0,22.1,9.9,140.8,85.6,7.7,523.8,45.6,5.0,0.54
54,73.4,45.3,58.9,73.4,45.3,58.9,41.6,58.3,0.0,0.0,0.0,0.0,0.0,19.7,11.0,308.7,0.4,9.9,526.3,45.6,5.0,0.61
55,80.8,51.5,65.5,80.0,51.5,65.4,51.3,63.9,0.0,0.0,0.0,0.0,0.0,17.2,8.3,260.9,24.5,9.8,499.5,43.1,5.0,0.7
56,62.5,34.1,47.7,62.5,33.7,47.0,27.2,50.0,0.0,0.0,0.0,0.0,0.0,21.9,8.4,291.6,10.3,9.9,533.8,46.0,5.0,0.88
57,73.4,55.5,63.0,73.4,55.5,63.0,53.1,72.1,0.0,0.0,0.0,0.0,0.0,14.3,8.2,61.6,37.2,9.8,439.3,38.1,5.0,0.32
58,81.2,66.0,72.3,83.0,66.0,72.5,64.8,78.5,0.0,0.0,0.0,0.0,0.0,24.1,11.9,108.7,63.7,9.9,519.4,47.2,5.0,0.48
59,46.2,32.5,38.0,42.0,27.0,33.3,22.1,55.0,0.0,0.0,0.0,0.0,0.0,23.3,12.6,316.4,9.7,9.9,542.7,47.1,5.0,0.8
60,46.2,31.0,39.4,41.2,30.1,34.7,17.5,41.9,0.0,0.0,0.0,0.0,0.0,26.8,11.9,322.2,34.2,9.9,542.2,46.9,5.0,0.93
61,68.2,40.5,54.7,68.2,39.9,54.6,45.4,73.2,0.303,100.0,16.67,0.0,0.0,27.3,11.0,130.5,34.5,9.4,530.8,45.6,5.0,0.19
62,53.2,51.4,52.5,53.2,51.4,52.5,51.1,95.0,0.456,100.0,37.5,0.0,0.0,9.2,6.5,107.1,100.0,4.9,517.8,44.2,5.0,0.55
63,52.4,48.0,49.5,52.4,43.2,47.0,42.6,77.2,0.0,0.0,0.0,0.0,0.0,23.0,13.2,93.9,95.5,9.5,487.8,41.5,5.0,0.62
64,48.4,43.7,45.8,44.6,39.0,41.2,40.9,83.5,0.784,100.0,41.67,0.0,0.0,24.2,12.7,97.1,100.0,6.8,517.2,43.7,5.0,0.67
65,52.7,35.5,44.0,52.7,32.1,41.2,28.8,57.6,0.0,0.0,0.0,0.0,0.0,24.7,15.6,266.7,12.2,9.9,516.6,44.3,5.0,0.76
66,44.2,39.1,40.8,42.4,31.5,35.7,33.0,75.0,0.065,100.0,33.33,0.0,0.0,19.7,12.7,75.5,97.4,8.5,496.5,42.8,5.0,0.95
67,50.4,39.6,44.1,50.4,33.1,39.3,32.1,63.4,0.0,0.0,0.0,0.0,0.0,19.7,12.8,74.7,99.6,9.8,540.1,46.5,5.0,0.98
68,46.6,39.6,42.8,45.9,34.1,39.4,40.8,92.6,0.024,100.0,16.67,0.0,0.0,21.9,11.0,110.9,100.0,5.1,500.8,42.6,5.0,1.0
69,50.7,29.4,37.9,50.7,26.6,37.2,21.9,55.9,0.005,100.0,4.17,0.1,0.1,4.7,6.9,311.3,37.3,9.7,542.0,46.9,6.0,0.11
70,62.0,36.7,45.7,62.0,27.7,43.9,40.7,83.7,0.069,100.0,12.5,0.0,0.0,31.0,18.5,285.9,63.5,7.6,70.7,6.1,4.0,0.09
71,51.5,28.8,39.2,51.5,22.6,35.4,21.6,51.0,0.0,0.0,0.0,0.0,0.0,18.3,10.7,87.0,16.2,9.9,113.3,9.8,5.0,0.19
72,50.2,30.1,39.5,50.2,25.2,36.1,17.2,41.4,0.0,0.0,0.0,0.0,0.0,29.1,17.6,357.1,0.0,9.9,115.8,9.8,5.0,0.33
73,58.7,30.3,44.1,58.7,26.8,42.0,26.9,52.9,0.0,0.0,0.0,0.0,0.0,19.3,11.9,249.4,17.3,9.9,128.1,11.2,6.0,0.7
74,59.8,45.1,50.9,59.8,40.2,49.5,35.4,55.7,0.0,0.0,0.0,0.0,0.0,17.2,9.3,263.9,52.6,9.9,82.4,7.0,4.0,0.75
75,37.0,25.3,30.5,30.6,13.3,21.4,9.2,43.6,0.006,100.0,8.33,0.0,0.1,34.2,20.3,312.8,26.2,9.6,144.8,12.6,6.0,0.95
76,56.5,44.4,49.1,56.5,39.4,46.4,36.7,62.8,0.118,100.0,20.83,0.0,0.0,28.6,13.0,92.1,77.6,9.6,59.5,5.4,3.0,0.01
77,44.7,28.5,35.5,40.9,19.0,28.6,19.4,54.5,0.0,0.0,0.0,0.0,0.0,29.7,18.1,329.5,20.1,9.9,159.3,13.9,6.0,0.11
78,68.7,41.2,54.1,68.7,41.2,53.3,37.4,56.0,0.0,0.0,0.0,0.0,0.0,20.1,12.1,295.2,15.1,9.9,161.3,14.1,6.0,0.42
79,46.9,36.6,41.8,40.8,27.8,35.0,19.4,42.9,0.0,0.0,0.0,0.0,0.0,30.7,19.2,311.3,33.2,9.9,172.9,14.9,7.0,0.45
80,68.7,44.4,55.9,68.7,41.0,54.8,40.3,56.7,0.0,0.0,0.0,0.0,0.0,25.5,11.8,137.0,53.9,9.9,122.6,10.6,6.0,0.5
81,70.7,56.7,63.4,70.7,56.7,63.4,56.0,77.4,0.172,100.0,20.83,0.0,0.0,33.3,17.3,171.5,94.9,8.7,43.1,3.9,3.0,0.51
82,62.8,33.3,45.5,62.8,26.3,40.1,38.1,75.8,0.898,100.0,16.67,0.0,0.0,30.7,19.3,304.4,63.6,9.4,146.6,12.7,7.0,0.52
83,57.3,42.9,50.8,57.3,39.6,50.1,41.8,72.8,0.625,100.0,41.67,0.0,0.0,21.0,9.2,103.3,78.1,8.0,61.8,5.6,5.0,0.62
84,71.0,53.3,61.3,71.0,53.3,61.3,56.2,84.4,0.198,100.0,33.33,0.0,0.0,25.3,11.5,175.7,74.1,8.1,88.3,7.8,5.0,0.67
85,65.2,46.6,58.8,65.2,42.0,58.3,50.3,74.6,0.052,100.0,16.67,0.0,0.0,30.7,13.2,282.9,50.5,9.6,96.8,8.2,5.0,0.84
86,65.2,51.3,59.4,65.2,51.3,59.4,47.8,68.1,0.005,100.0,4.17,0.0,0.0,27.7,15.4,265.1,48.1,9.2,236.3,20.5,8.0,0.51
87,68.2,40.4,54.4,68.2,37.2,53.1,32.3,47.6,0.0,0.0,0.0,0.0,0.0,27.8,16.8,321.9,6.0,9.9,244.6,20.8,8.0,0.53
88,75.1,52.3,64.0,75.1,52.3,64.0,44.5,50.1,0.0,0.0,0.0,0.0,0.0,31.0,17.2,140.9,40.1,9.9,231.2,20.1,8.0,0.61
89,74.1,47.7,60.5,74.1,47.7,60.5,35.9,40.9,0.0,0.0,0.0,0.0,0.0,17.7,9.6,116.6,46.3,9.7,223.3,19.4,8.0,0.96
